id,code,name,originLat,originLon,destLat,destLon,custom,midDestLat1,midDestLon1,midDestLat2,midDestLon2,midDestLat3,midDestLon3
1,TR3(TOK-TA),TRANSPAC3,35.68,139.76,25.0333,121.6333,yes,0,0,0,0,0,0
2,TR3(TOK-LA),TRANSPAC3,35.68,139.76,34.0500,-118.2500,yes,0,0,0,0,0,0
3,TWL(TA-LA),TAIWANLIGHT,25.0333,121.6333,34.0500,-118.2500,yes,29.019171,-158.067782,0,0,0,0
4,ASG(TA-CHI),ASGCNET,25.0333,121.6333,41.8369,-87.6847,yes,44.172682, 142.336165,50.456384, -154.874827,46.125213, -122.625219
5,KRE(SEO-SEA),KREONET,37.5667,126.9667,47.61,-122.33,yes,0,0,0,0,0,0
6,KRE(HK-SEO),KREONET,22.27,114.17,37.5667,126.9667,yes,0,0,0,0,0,0
7,CST(HK-SEA),CSTNET,22.27,114.17,47.61,-122.33,yes,62.7371787,-194.1292957,63.839048,-173.126964,62.186861,-153.942565
8,AML(MIA-RIO),AMLIGHT,25.7753,-80.2089,-22.90,-43.24,yes,-3.733575, -66.851065,-3.733575, -66.851065,-3.733575, -66.851065
9,ASG(CHI-ROT),ASGCNET,41.8369,-87.6847,51.9167,4.5000,no,0,0,0,0,0,0
10,LHC(CHI-CERN),ASGCNET,41.8369,-87.6847,46.2342,6.0528,yes,34.925818, -66.652548,34.048736, -42.778473,42.948234, 1.705815
11,AAR(LA-HON),AARNET,34.0500,-118.2500,21.3000,-157.8167,no,0,0,0,0,0,0
12,AAR(HON-SYD),AARNET,21.3000,-157.8167,-33.8650,151.2094,no,0,0,0,0,0,0
13,AAR(LA-HIL),AARNET,34.0500,-118.2500,19.7056,-155.0858,no,0,0,0,0,0,0
14,AAR(HIL-SYD),AARNET,19.7056,-155.0858,-33.8650,151.2094,no,0,0,0,0,0,0
15,LHC(NYK-CERN),ASGCNET,40.7127,-74.0059,46.2342,6.0528,no,0,0,0,0,0,0
16,LHC(NYK-ROT),ASGCNET,40.7127,-74.0059,51.9167,4.5000,no,0,0,0,0,0,0
17,TAJ(SIN-HK),TAJGLORIAD,1.36,103.75,22.27,114.17,no,0,0,0,0,0,0
